Record ID,Store Name,Store Street Address,Additonal Address,City,State,Zip Code,Zip4,County,Store Type,Latitude,Longitude,Incentive Program,Grantee Name,x,y
297538,KC's Produce,1149 SE Baya Dr,,Lake City,FL,32025,5540,COLUMBIA,Grocery Store,30.182674,-82.619637,,,-9197175.920365104,3527052.56066848
289435,Sedano's 24,2325 N 60th Ave,,Hollywood,FL,33021,3203,BROWARD,Supermarket,26.030544,-80.208046,,,-8928718.838243462,3002864.440712272
351621,CVS Pharmacy 5167,12 Decatur St,,Chattahoochee,FL,32324,1012,GADSDEN,Other,30.705391,-84.847031,,,-9445128.286241097,3594547.3714906536
351731,Publix 0757,125 E Merritt Island Causeway,,Merritt Island,FL,32952,    ,BREVARD,Supermarket,28.356924,-80.697906,,,-8983249.804003457,3294048.7236383297
351858,Tom Thumb 900056,438 W James Lee Blvd,,Crestview,FL,32536,2638,OKALOOSA,Convenience Store,30.764748,-86.583382,,,-9638417.995399488,3602234.7326994413
383412,CIRCLE K 2707466,3280 Boggy Creek Rd,,Kissimmee,FL,34744,9528,OSCEOLA,Convenience Store,28.348024,-81.309662,,,-9051350.170413187,3292922.9335324094
350349,NATURES FOOD PATCH INC,1225 Cleveland St,,Clearwater,FL,33755,4908,PINELLAS,Super Store,27.965574,-82.786331,,,-9215732.211563399,3244634.1515792557
347349,WALGREENS 6515,5945 US Highway 301 N,,Ellenton,FL,34222,2953,MANATEE,Other,27.530985,-82.503006,,,-9184192.616834395,3189969.385630809
347703,WINN DIXIE 0003,1245 S Jefferson St,,Monticello,FL,32344,1633,JEFFERSON,Supermarket,30.534893,-83.870316,,,-9336400.869790945,3572492.319231169
347762,Flash Foods LLC 274143,2020 Sadler Rd,,Fernandina Beach,FL,32034,4428,NASSAU,Convenience Store,30.63987,-81.449402,,,-9066905.95605664,3586067.1965121482
350368,WALGREENS  03830,1947 Fruitville Rd,,Sarasota,FL,34236,4203,SARASOTA,Other,27.338867,-82.531532,,,-9187368.116628762,3165872.8703249213
350630,Tom Thumb Food Store 900025,5191 Ward Basin Rd,,Milton,FL,32583,5455,SANTA ROSA,Convenience Store,30.624132,-87.021233,,,-9687159.345762813,3584031.133151098
350778,PUBLIX  1769,4173 Tamiami Trl S,,Venice,FL,34293,5111,SARASOTA,Supermarket,27.049887,-82.394836,,,-9172151.187515287,3129705.854250764
350916,CVS Pharmacy 5077,5300 S John Young Pkwy,,Orlando,FL,32839,7363,ORANGE,Other,28.486391,-81.417572,,,-9063362.656664688,3310436.1231452143
351042,Walmart 931,5555 20TH ST,,VERO BEACH,FL,32966,    ,INDIAN RIVER,Super Store,27.636623,-80.443001,,,-8954873.909202795,3203237.0299256938
351155,VIOLET COLLEY GROCERY,4426 33rd Ave,,Vero Beach,FL,32967,1688,INDIAN RIVER,Convenience Store,27.673407,-80.4188,,,-8952179.86620611,3207859.9345924617
351210,CVS Pharmacy 3704,1421 Alton Rd,,Miami Beach,FL,33139,3813,MIAMI DADE,Other,25.78587,-80.141029,,,-8921258.53992897,2972584.1062828135
351226,CUMBERLAND FARMS 9541,5245 10th Ave N,,Greenacres,FL,33463,2052,PALM BEACH,Convenience Store,26.631227,-80.125267,,,-8919503.922115086,3077473.5022108317
356778,CHEVRON FOOD MART,2124 E Busch Blvd,,Tampa,FL,33612,8670,HILLSBOROUGH,Convenience Store,28.032587,-82.434929,,,-9176614.31985966,3253082.886372557
349365,THE CAROUSEL,19440 Front Beach Rd,,Panama City Beach,FL,32413,1764,BAY,Super Store,30.239538,-85.924271,,,-9565046.094503244,3534377.529851008
289935,PUBLIX  0772,9621 N US Highway 1,,Sebastian,FL,32958,6363,INDIAN RIVER,Supermarket,27.769545,-80.44532,,,-8955132.059101947,3219949.6335101346
290070,Tom Thumb 900015,4141 Avalon Blvd,,Milton,FL,32583,5584,SANTA ROSA,Convenience Store,30.586569,-87.086021,,,-9694371.51293233,3579172.8539090706
290332,THE BOYS FARMERS MARKET INC.,14378 S Military Trl,,Delray Beach,FL,33484,2626,PALM BEACH,Super Store,26.463526,-80.12252,,,-8919198.127473876,3056604.8143961476
356867,Dollar General 3687,100 E Nine Mile Rd,,Pensacola,FL,32534,3139,ESCAMBIA,Other,30.533278,-87.271568,,,-9715026.51049055,3572283.5936684483
349462,Walgreens 01600,14720 SW 88th St,,Miami,FL,33196,1481,MIAMI DADE,Other,25.684772,-80.430634,,,-8953497.221060155,2960090.699127698
348190,CVS Pharmacy 5119,4232 NE Ocean Blvd,,Jensen Beach,FL,34957,4307,MARTIN,Other,27.25676,-80.198448,,,-8927650.39377083,3155587.3049839255
349522,CUMBERLAND FARMS 9578,12500 State Rd 84,,Davie,FL,33325,    ,BROWARD,Convenience Store,26.114361,-80.315201,,,-8940647.278279416,3013251.9512411063
357005,CIRCLE K 2708802,6422 Benjamin Rd,,Tampa,FL,33634,5112,HILLSBOROUGH,Convenience Store,28.007042,-82.541992,,,-9188532.51850246,3249861.653753039
348298,Tom Thumb 900141,2200 W Navy Blvd,,Pensacola,FL,32505,8013,ESCAMBIA,Convenience Store,30.41258,-87.242287,,,-9711766.964480631,3556694.1639420963
298070,PUBLIX  507,1950 N Highway 19,,Eustis,FL,32726,6729,LAKE,Supermarket,28.874174,-81.688072,,,-9093474.578924268,3359640.9312662836
357115,Azteca Mexican Store 5,681 W Cowboy Way,,Labelle,FL,33935,4092,HENDRY,Grocery Store,26.746843,-81.448875,,,-9066847.29068499,3091878.574129279
348344,CVS Pharmacy 5189,1551 County Road 220,,Orange Park,FL,32003,7926,CLAY,Other,30.102228,-81.711594,,,-9096093.035986708,3516697.079462444
357206,Circle K 2721297,5105 County Road 218,,Middleburg,FL,32068,3555,CLAY,Convenience Store,30.089062,-81.945602,,,-9122142.68738826,3515003.0779081667
298380,PUBLIX  0872,4760 W Hillsboro Blvd,,Coconut Creek,FL,33073,4339,BROWARD,Supermarket,26.31743,-80.188423,,,-8926534.415875627,3038449.423037336
348627,PUBLIX 0021,2465 Glades Cir,,Weston,FL,33327,2204,BROWARD,Supermarket,26.137733,-80.421135,,,-8952439.797217112,3016149.789870277
356045,Tom Thumb 900030,5650 Woodbine Rd,,Pace,FL,32571,    ,SANTA ROSA,Convenience Store,30.642471,-87.180313,,,-9704868.050358208,3586403.7261065333
349898,PUBLIX 644,12620 Beach Blvd,Ste 12,Jacksonville,FL,32246,7130,DUVAL,Supermarket,30.287245,-81.487244,,,-9071118.508227237,3540526.2043308667
298532,Walgreens 4569,3895 W Broward Blvd,,Fort Lauderdale,FL,33312,1017,BROWARD,Other,26.121141,-80.200539,,,-8927883.162826078,3014092.5276048956
